序号,课程编码,课程名称,星期节次,教室
2,011D9039Z﹡,数理逻辑,周三(5-6),N306
4,011D9059Z﹡,电磁反散射问题,周三(3-4),N306
7,011D9093Z﹡,多层迭代法,周三(3-4),N308
1,011D9102Z﹡,代数几何I、II,周一(3-4),N406
1,011D9102Z﹡,代数几何I、II,周五(2-4),N406
11,011D9103Z﹡,代数数论I、II,周三(5-6),N401
15,011M1003Y,微分流形,周三(5-6),教204
2,011M1010Y,泛函分析Ⅰ,周六(3-4),阶二2
2,011M1010Y,泛函分析Ⅰ,周日(5-6),阶二2
21,011M1011H,最优化计算方法,周一(3-4),教1-101
21,011M1011H,最优化计算方法,周三(3-4),教1-101
24,011M1014H,偏微分方程概论,周三(5-7),教1-317
25,011M1014Y,偏微分方程概论,周五(2-4),教304
25,011M1014Y,偏微分方程概论,周日(2-4),教304
28,011M4008H,数值线性代数,周五(1-2),教1-123
29,011M4009H,数值逼近,周三(5-7),教1-225
31,011M4013H,多元统计分析,周五(3-4),教1-209
35,011M5002Y,微分拓扑,周一(3-4),教304
35,011M5002Y,微分拓扑,周三(3-4),教304
4,01MGX004H,复变函数与积分变换,周五(9-11),教1-108
52,021M1006H,光学电磁理论及应用,周五(1-3),教1-109
53,021M1007H,超导物理,周三(5-7),教1-215
62,021M2003H,密度泛函理论与应用,周五(1-3),教1-405
63,021M2004H,量子场论（1）（理论物理方向）,周五(1-3),教1-306
64,021M2005H,广义相对论,周三(5-7),教1-405
65,021M2007H,高等物理实验（1）,周六(1),学2-340(物理学院教学实验室)
67,021M2011H,微分几何及其在物理中的应用,周五(9-10),教1-121
68,021M2013H,实验物理中的概率和统计,周一(3-4),教1-405
68,021M2013H,实验物理中的概率和统计,周三(3-4),教1-405
7,021M2016H,现代生物物理学,周三(5-6),教1-134
73,021M2040H,海洋声学,周三(5-7),教1-214
77,021M3001H,密度泛函理论与应用讨论班,周五(1-4),教1-405
79,021M3019H,声表面波传感技术及应用,周五(1-3),教1-134
81,031M1002H,高等天文学,周一(1-3),教1-208
84,031M2003H,射电望远镜设计与实现,周六(5-8),教1-127
86,031M4002H,现代太阳物理导论,周三(5-7),学2-104
87,031M4003H,行星科学导论,周五(9-11),教1-214
93,031M4014H,天文光学系统,周五(1-3),教1-315
95,031M5002H,核天体物理学,周五(1-3),教1-223
97,032M1001H,空间环境预报,周三(5-7),学2-362
1,032M1004H,航天器轨道姿态动力学与控制,周五(9-11),教1-123
101,032M2001H,空间科学概论,周三(3-4),教1-114
102,041M4003H,高等仪器分析,周三(5-7),教2-205
103,041M4004H,高等有机合成,周三(5-7),教2-105
106,041M4009H,高等高分子物理,周三(5-7),教2-125
107,041M4010H,配位化学,周一(2-4),教2-204
108,041M4011H,化学热力学,周三(5-7),教2-207
109,041M4012H,化学反应动力学,周五(1-2),教2-204
12,041M5018H-1,电化学原理及应用,周三(5-6),教1-306
121,041M5018H-2,电化学原理及应用,周三(3-4),教2-106
121,041M5018H-2,电化学原理及应用,周五(3-4),教2-106
122,041M5019H,光化学原理及应用,周五(1-2),教2-118
125,041M6002H,纳米分析前沿,周三(5-7),教2-121
128,041M6010H,纳米材料的应用,周三(5-7),教2-327
129,051M1002H,材料分析方法,周三(5-6),教1-101
131,051M2005H,材料科学与工程中的数学方法,周一(3-4),教1-404
131,051M2005H,材料科学与工程中的数学方法,周三(3-4),教1-404
133,051M2007H,高等半导体物理,周三(5-7),教1-009
137,051M4017H,分子材料与器件,周三(5-6),教1-311
139,051M4083H,硅基光电子学材料与器件,周五(1-2),教1-305
14,051M5020H,生物可降解高分子材料,周三(3-4),教1-317
14,051M5020H,生物可降解高分子材料,周五(3-4),教1-317
149,051M5070H,半导体微纳结构光电子与量子器件,周五(1-2),教1-125
153,051M5106H,半导体激光器,周三(5-7),教1-404
155,051M5108H,半导体材料测试与分析,周五(3-4),教1-404
16,051M6002H,宽带高速硅基光子集成芯片,周三(5-7),学2-302
162,051M6035H,半导体物理前沿进展,周三(5-7),教1-232
162,051M6035H,半导体物理前沿进展,周五(3-4),教1-232
174,061M2031H,生物统计与实验设计,周一(3-4),教2-201
174,061M2031H,生物统计与实验设计,周五(1-2),教2-201
175,061M4001H,高级植物发育生物学,周三(5-7),教2-104
183,061M4009H,分子细胞生物学,周五(3-4),教2-201
184,061M4011H,细胞的物理生物学,周三(5-7),教2-427
197,061M5012H,生物技术药物,周五(9-11),教2-106
203,061M5021H,功能基因组学,周三(5-7),教2-101
205,061M5026H,微生物代谢工程,周三(5-7),教2-106
207,061M5029H,动物生态学,周三(5-7),教2-229
208,061M5030H,植物生态学,周一(9-11),教2-104
